trial,msg_len,flip_pos,beta,alpha,p_percent
612,128,99,73,41,40.55555555555556
613,128,75,85,36,47.22222222222222
614,128,91,84,26,46.666666666666664
615,128,18,90,28,50.0
616,128,55,76,27,42.22222222222222
617,128,3,90,38,50.0
618,128,57,87,34,48.333333333333336
619,128,71,90,34,50.0
620,128,69,86,38,47.77777777777778
621,128,99,85,26,47.22222222222222
622,128,69,83,37,46.111111111111114
623,128,107,85,29,47.22222222222222
624,128,92,94,28,52.22222222222223
625,128,50,85,48,47.22222222222222
626,128,85,97,24,53.888888888888886
627,128,62,82,34,45.55555555555556
628,128,34,83,41,46.111111111111114
629,128,106,84,33,46.666666666666664
630,128,84,94,38,52.22222222222223
631,128,7,99,24,55.00000000000001
632,128,97,87,28,48.333333333333336
633,128,6,84,34,46.666666666666664
634,128,101,87,33,48.333333333333336
635,128,27,88,26,48.888888888888886
636,128,84,77,40,42.77777777777778
637,128,59,86,29,47.77777777777778
638,128,0,78,24,43.333333333333336
639,128,72,83,37,46.111111111111114
640,128,71,88,34,48.888888888888886
641,128,87,80,27,44.44444444444444
642,128,21,83,29,46.111111111111114
643,128,3,78,37,43.333333333333336
644,128,35,93,35,51.66666666666667
645,128,36,79,26,43.888888888888886
646,128,3,87,24,48.333333333333336
647,128,59,93,29,51.66666666666667
648,128,13,76,29,42.22222222222222
649,128,10,88,30,48.888888888888886
650,128,82,103,29,57.22222222222222
651,128,23,92,27,51.11111111111111
652,128,119,80,33,44.44444444444444
653,128,25,95,27,52.77777777777778
654,128,80,84,32,46.666666666666664
655,128,35,82,30,45.55555555555556
656,128,124,85,29,47.22222222222222
657,128,116,103,37,57.22222222222222
658,128,30,75,23,41.66666666666667
659,128,126,86,32,47.77777777777778
660,128,126,84,31,46.666666666666664
661,128,49,83,40,46.111111111111114
662,128,55,81,23,45.0
663,128,48,78,30,43.333333333333336
664,128,108,94,40,52.22222222222223
665,128,72,81,23,45.0
666,128,28,106,25,58.88888888888889
667,128,31,84,35,46.666666666666664
668,128,125,97,23,53.888888888888886
669,128,59,87,32,48.333333333333336
670,128,86,105,33,58.333333333333336
671,128,23,82,31,45.55555555555556
672,128,64,95,27,52.77777777777778
673,128,91,94,22,52.22222222222223
674,128,88,83,25,46.111111111111114
675,128,20,81,27,45.0
676,128,102,88,25,48.888888888888886
677,128,108,92,36,51.11111111111111
678,128,108,72,33,40.0
679,128,22,85,34,47.22222222222222
680,128,65,90,27,50.0
681,128,25,86,36,47.77777777777778
682,128,28,90,37,50.0
683,128,27,86,26,47.77777777777778
684,128,97,82,24,45.55555555555556
685,128,0,87,40,48.333333333333336
686,128,64,81,33,45.0
687,128,100,88,26,48.888888888888886
688,128,84,80,29,44.44444444444444
689,128,87,84,28,46.666666666666664
690,128,99,94,19,52.22222222222223
691,128,49,87,22,48.333333333333336
692,128,79,87,35,48.333333333333336
693,128,95,96,26,53.333333333333336
694,128,25,80,42,44.44444444444444
695,128,18,83,35,46.111111111111114
696,128,93,84,27,46.666666666666664
697,128,80,85,48,47.22222222222222
698,128,53,91,34,50.55555555555556
699,128,108,80,22,44.44444444444444
700,128,46,84,35,46.666666666666664
701,128,68,80,28,44.44444444444444
702,128,39,98,33,54.44444444444444
703,128,14,85,29,47.22222222222222
704,128,109,88,33,48.888888888888886
705,128,69,92,24,51.11111111111111
706,128,99,72,29,40.0
707,128,84,93,33,51.66666666666667
708,128,90,89,32,49.44444444444444
709,128,67,68,37,37.77777777777778
710,128,88,87,34,48.333333333333336
711,128,101,89,36,49.44444444444444
712,128,62,82,35,45.55555555555556
713,128,11,92,32,51.11111111111111
714,128,63,88,33,48.888888888888886
715,128,29,94,36,52.22222222222223
716,128,49,81,30,45.0
717,128,3,92,28,51.11111111111111
718,128,96,89,22,49.44444444444444
719,128,43,79,21,43.888888888888886
720,128,48,84,28,46.666666666666664
721,128,43,69,43,38.333333333333336
722,128,39,82,34,45.55555555555556
723,128,93,74,30,41.11111111111111
724,128,28,75,35,41.66666666666667
725,128,116,86,28,47.77777777777778
726,128,38,94,34,52.22222222222223
727,128,124,78,33,43.333333333333336
728,128,122,81,47,45.0
729,128,4,88,26,48.888888888888886
730,128,124,69,34,38.333333333333336
731,128,26,84,39,46.666666666666664
732,128,16,93,23,51.66666666666667
733,128,40,80,39,44.44444444444444
734,128,60,104,28,57.77777777777777
735,128,35,93,29,51.66666666666667
736,128,119,78,39,43.333333333333336
737,128,61,95,32,52.77777777777778
738,128,14,90,25,50.0
739,128,95,87,32,48.333333333333336
740,128,59,94,32,52.22222222222223
741,128,55,85,29,47.22222222222222
742,128,102,85,27,47.22222222222222
743,128,105,83,29,46.111111111111114
744,128,30,85,24,47.22222222222222
745,128,98,72,28,40.0
746,128,3,92,33,51.11111111111111
747,128,113,92,24,51.11111111111111
748,128,110,77,28,42.77777777777778
749,128,4,87,24,48.333333333333336
750,128,96,85,24,47.22222222222222
751,128,88,97,27,53.888888888888886
752,128,60,80,37,44.44444444444444
753,128,74,84,26,46.666666666666664
754,128,68,91,25,50.55555555555556
755,128,15,80,22,44.44444444444444
756,128,68,84,32,46.666666666666664
757,128,26,84,22,46.666666666666664
758,128,11,91,27,50.55555555555556
