trial,msg_len,flip_pos,beta,alpha,p_percent
521,128,2,69,69,38.333333333333336
522,128,70,70,68,38.88888888888889
523,128,48,65,55,36.11111111111111
524,128,9,76,58,42.22222222222222
525,128,52,77,64,42.77777777777778
526,128,103,69,64,38.333333333333336
527,128,34,78,57,43.333333333333336
528,128,98,68,55,37.77777777777778
529,128,89,61,70,33.88888888888889
530,128,97,77,71,42.77777777777778
531,128,4,69,65,38.333333333333336
532,128,107,77,67,42.77777777777778
533,128,102,73,55,40.55555555555556
534,128,119,77,73,42.77777777777778
535,128,59,68,61,37.77777777777778
536,128,77,67,57,37.22222222222222
537,128,68,76,70,42.22222222222222
538,128,119,79,64,43.888888888888886
539,128,5,60,62,33.33333333333333
540,128,5,78,64,43.333333333333336
541,128,37,64,65,35.55555555555556
542,128,68,63,65,35.0
543,128,94,70,64,38.88888888888889
544,128,40,71,66,39.44444444444444
545,128,25,74,67,41.11111111111111
546,128,45,69,63,38.333333333333336
547,128,97,68,69,37.77777777777778
548,128,110,71,66,39.44444444444444
549,128,26,65,61,36.11111111111111
550,128,31,66,59,36.666666666666664
551,128,19,74,64,41.11111111111111
552,128,108,78,56,43.333333333333336
553,128,10,73,72,40.55555555555556
554,128,89,77,64,42.77777777777778
555,128,27,70,62,38.88888888888889
556,128,70,77,62,42.77777777777778
557,128,40,61,68,33.88888888888889
558,128,12,76,58,42.22222222222222
559,128,84,65,57,36.11111111111111
560,128,62,76,65,42.22222222222222
561,128,36,63,63,35.0
562,128,15,69,63,38.333333333333336
563,128,34,73,62,40.55555555555556
564,128,3,71,61,39.44444444444444
565,128,46,67,67,37.22222222222222
566,128,83,75,62,41.66666666666667
567,128,6,60,64,33.33333333333333
568,128,88,79,65,43.888888888888886
569,128,10,68,61,37.77777777777778
570,128,87,65,62,36.11111111111111
571,128,121,68,71,37.77777777777778
572,128,61,59,60,32.77777777777778
573,128,104,63,67,35.0
574,128,22,70,62,38.88888888888889
575,128,25,77,63,42.77777777777778
576,128,68,66,59,36.666666666666664
577,128,112,67,64,37.22222222222222
578,128,6,66,56,36.666666666666664
579,128,19,64,61,35.55555555555556
580,128,4,69,64,38.333333333333336
581,128,70,73,58,40.55555555555556
582,128,115,72,65,40.0
583,128,59,63,62,35.0
584,128,80,70,59,38.88888888888889
585,128,117,64,56,35.55555555555556
586,128,46,70,67,38.88888888888889
587,128,112,63,60,35.0
588,128,19,65,59,36.11111111111111
589,128,75,59,65,32.77777777777778
590,128,111,77,59,42.77777777777778
591,128,23,71,60,39.44444444444444
592,128,102,74,59,41.11111111111111
593,128,106,79,64,43.888888888888886
594,128,11,71,68,39.44444444444444
595,128,26,63,60,35.0
596,128,126,63,61,35.0
597,128,65,65,60,36.11111111111111
598,128,21,68,64,37.77777777777778
599,128,111,61,65,33.88888888888889
600,128,56,62,61,34.44444444444444
601,128,96,68,66,37.77777777777778
602,128,65,72,62,40.0
603,128,72,69,68,38.333333333333336
604,128,2,70,54,38.88888888888889
605,128,65,74,58,41.11111111111111
606,128,126,71,59,39.44444444444444
607,128,19,74,56,41.11111111111111
608,128,79,73,68,40.55555555555556
609,128,11,62,61,34.44444444444444
610,128,114,79,64,43.888888888888886
611,128,56,62,63,34.44444444444444
612,128,99,63,71,35.0
613,128,75,64,67,35.55555555555556
614,128,91,69,61,38.333333333333336
615,128,18,73,64,40.55555555555556
616,128,55,64,59,35.55555555555556
617,128,3,72,72,40.0
618,128,57,75,64,41.66666666666667
619,128,71,77,66,42.77777777777778
620,128,69,68,66,37.77777777777778
621,128,99,66,60,36.666666666666664
622,128,69,77,69,42.77777777777778
623,128,107,72,63,40.0
624,128,92,67,66,37.22222222222222
625,128,50,74,74,41.11111111111111
626,128,85,74,58,41.11111111111111
627,128,62,70,62,38.88888888888889
628,128,34,81,71,45.0
629,128,106,56,64,31.11111111111111
630,128,84,67,71,37.22222222222222
631,128,7,74,60,41.11111111111111
632,128,97,67,63,37.22222222222222
633,128,6,76,65,42.22222222222222
634,128,101,70,67,38.88888888888889
635,128,27,74,61,41.11111111111111
636,128,84,66,67,36.666666666666664
637,128,59,62,61,34.44444444444444
638,128,0,69,56,38.333333333333336
639,128,72,81,67,45.0
640,128,71,69,65,38.333333333333336
641,128,87,73,61,40.55555555555556
642,128,21,67,65,37.22222222222222
643,128,3,70,73,38.88888888888889
644,128,35,61,65,33.88888888888889
645,128,36,73,59,40.55555555555556
646,128,3,76,61,42.22222222222222
647,128,59,75,61,41.66666666666667
